+---------+------+
| avg     | age  |
+---------+------+
| 10.0000 |   31 |
|  6.0000 |   17 |
|  5.5000 |   47 |
|  5.5000 |   41 |
|  5.5000 |   35 |
|  5.0000 |   18 |
|  5.0000 |   22 |
|  4.5000 |   20 |
|  4.5000 |   55 |
|  4.5000 |   30 |
|  4.5000 |   24 |
|  4.3333 |   46 |
|  4.0000 |   57 |
|  4.0000 |   40 |
|  3.6667 |   19 |
|  3.6667 |   26 |
|  3.6667 |   65 |
|  3.6667 |   52 |
|  3.5000 |   49 |
|  3.2500 |   51 |
|  3.0000 |   33 |
|  3.0000 |   63 |
|  3.0000 |   58 |
|  3.0000 |   39 |
|  3.0000 |   43 |
|  3.0000 |   48 |
|  3.0000 |   42 |
|  2.6667 |   50 |
|  2.5000 |   62 |
|  2.3333 |   15 |
|  2.0000 |   38 |
|  2.0000 |   23 |
|  2.0000 |   29 |
|  2.0000 |   27 |
|  2.0000 |   44 |
|  1.5000 |   21 |
|  1.0000 |   45 |
|  1.0000 |   59 |
+---------+------+
